task,agent,run,test_state,0,1,2,3,4,5
0,INQUIRE,0,0,0.5641977622751866,0.19091448463524693,0.17841528988491004,0.1627721678867189,0.12094472255854587,0.1275264342506126
0,INQUIRE,1,0,0.7764968913644771,0.23681355578458063,0.2104973685789025,0.22249681899347762,0.2158194968605451,0.20832914751052273
0,INQUIRE,2,0,0.3250371272105749,0.21458085160357088,0.17817795968080613,0.15148942607722002,0.20251675615411827,0.17025801552710376
0,INQUIRE,3,0,0.5571453176463673,0.31762134507535494,0.22626598928753378,0.21768545127082906,0.2073998623987542,0.1735747742364514
0,INQUIRE,4,0,0.6005601074188933,0.1265402365855478,0.1747007286829596,0.16478739662521202,0.13055629874158123,0.1397935166855739
0,INQUIRE,5,0,0.6233836371685673,0.1683159349161404,0.17536003935427028,0.13164610141140246,0.1333560818202051,0.12759623201907597
0,INQUIRE,6,0,0.7179686451289795,0.15855124511023108,0.14539881076306355,0.14648139348923234,0.14002773945438945,0.14202318595255609
0,INQUIRE,7,0,0.7867874987628729,0.25904943489314,0.21562405076138755,0.19282724385560696,0.15829226184535589,0.13867856019661645
0,INQUIRE,8,0,0.5461440125986105,0.2725886922423679,0.1948094453734033,0.14370708579184455,0.15551313451097,0.14033261039301512
0,INQUIRE,9,0,0.663992235366924,0.14765998729402002,0.21499715187508847,0.14959367276403465,0.15282695499805302,0.14813556339995199
