task,agent,run,test_state,0,1,2,3,4,5
0,INQUIRE,0,0,0.0,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,1,0,0.0,1.0,0.8808924192967301,0.8808924192967301,0.8702738671835536,0.8702738671835536
0,INQUIRE,2,0,1.0,1.0,0.8702738671835536,0.8702738671835536,0.8702738671835536,0.8702738671835536
0,INQUIRE,3,0,0.6098331880044193,0.8595388709089472,1.0,0.8702738671835536,0.8808924192967301,1.0
0,INQUIRE,4,0,0.4094325994638652,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,5,0,0.18823119154780776,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,6,0,0.0,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,7,0,0.0,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,8,0,0.6827945846308912,0.8702738671835536,1.0,1.0,1.0,1.0
0,INQUIRE,9,0,0.0,1.0,1.0,1.0,1.0,1.0
