task,agent,run,test_state,0,1
0,Demo-only,0,0,-1.0,0.0
0,Demo-only,1,0,-1.0,0.0
0,Demo-only,2,0,-1.0,0.0
0,Demo-only,3,0,-1.0,0.0
0,Demo-only,4,0,-1.0,0.0
0,Demo-only,5,0,-1.0,0.0
0,Demo-only,6,0,-1.0,0.0
0,Demo-only,7,0,-1.0,0.0
0,Demo-only,8,0,-1.0,0.0
0,Demo-only,9,0,-1.0,0.0
0,Demo-only,10,0,-1.0,0.0
0,Demo-only,11,0,-1.0,0.0
0,Demo-only,12,0,-1.0,0.0
0,Demo-only,13,0,-1.0,0.0
0,Demo-only,14,0,-1.0,0.0
0,Demo-only,15,0,-1.0,0.0
0,Demo-only,16,0,-1.0,0.0
0,Demo-only,17,0,-1.0,0.0
0,Demo-only,18,0,-1.0,0.0
0,Demo-only,19,0,-1.0,0.0
0,Demo-only,20,0,-1.0,0.0
0,Demo-only,21,0,-1.0,0.0
0,Demo-only,22,0,-1.0,0.0
0,Demo-only,23,0,-1.0,0.0
0,Demo-only,24,0,-1.0,0.0
0,Demo-only,25,0,-1.0,0.0
0,Demo-only,26,0,-1.0,0.0
0,Demo-only,27,0,-1.0,0.0
0,Demo-only,28,0,-1.0,0.0
0,Demo-only,29,0,-1.0,0.0
0,Demo-only,30,0,-1.0,0.0
0,Demo-only,31,0,-1.0,0.0
0,Demo-only,32,0,-1.0,0.0
0,Demo-only,33,0,-1.0,0.0
0,Demo-only,34,0,-1.0,0.0
0,Demo-only,35,0,-1.0,0.0
0,Demo-only,36,0,-1.0,0.0
0,Demo-only,37,0,-1.0,0.0
0,Demo-only,38,0,-1.0,0.0
0,Demo-only,39,0,-1.0,0.0
0,Demo-only,40,0,-1.0,0.0
0,Demo-only,41,0,-1.0,0.0
0,Demo-only,42,0,-1.0,0.0
0,Demo-only,43,0,-1.0,0.0
0,Demo-only,44,0,-1.0,0.0
0,Demo-only,45,0,-1.0,0.0
0,Demo-only,46,0,-1.0,0.0
0,Demo-only,47,0,-1.0,0.0
0,Demo-only,48,0,-1.0,0.0
0,Demo-only,49,0,-1.0,0.0
